mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxz0,corr_gyz0,corr_gxy1,corr_gxz1,corr_gyz1,label
-350.361111111,4709.02777778,-17884.2222222,5955.88888889,-590.0,11389.9722222,-2104.33333333,-8371.27083333,-394.25,11017.375,2365.23990596,6215.74278786,7546.73373005,1943.53661889,2632.67481306,2841.45287358,12675.6121332,16615.9799183,2447.41562995,1964.15238707,-240.0,3710.0,-14980.0,5976.0,-390.0,11246.0,-1319.0,-11499.5,-672.5,10696.0,1900.53780864,5158.94675926,6476.49074074,1420.77932099,2221.0,2213.02546296,10313.9351852,14506.5815972,1981.86458333,1640.234375,5164,19764,-7248,11716,5052,19188,22928,23244,5510,15307,-5320,-8720,-32768,600,-6532,4644,-27399,-31571,-5264,6692,0.266553251492,0.0987785187889,-0.46780236474,-0.449454053056,0.131994482867,-0.10039824839,0.500601780639,,,-0.139349264214,,,10
-1097.16666667,5727.88888889,-18653.2222222,5757.61111111,-426.138888889,11469.6388889,-1898.04861111,-7775.97222222,-262.402777778,11738.6319444,2704.13261044,6407.14981648,7148.52654625,2278.63388441,2758.46422918,2637.52536755,13299.8265725,15038.580593,2813.98756793,2472.53387412,-1322.0,3844.0,-18568.0,5852.0,-142.0,11348.0,-1955.5,-7271.5,-477.0,11712.0,2240.94212963,5496.76080247,6044.5,1784.9220679,2296.18402778,2017.0632716,11254.0472608,12945.9714506,2198.36091821,1898.41849923,5164,19764,-7248,11476,6264,17864,22928,23244,5717,20039,-6380,-8720,-32768,484,-6532,4520,-26891,-31571,-7411,6870,0.498459327558,0.104803383923,-0.446168628116,-0.350962090083,0.218912663861,-0.184608871339,0.471405061308,,,-0.154565425999,,,10
-1431.83333333,6179.94444444,-18885.3888889,5616.77777778,-406.555555556,11459.7222222,-1231.76388889,-6653.76388889,-126.770833333,11798.4027778,2958.67877808,5952.40659537,6981.63668982,2373.994976,2688.52245219,2882.00379603,15045.049779,13503.0840191,3315.2319661,2461.34963353,-976.0,4566.0,-18318.0,5300.0,-702.0,11384.0,-2181.5,-6489.0,78.0,11425.5,2503.42824074,5137.88503086,5889.14969136,1882.69753086,2171.30709877,2181.21450617,13153.9403935,11873.0972222,2651.89265046,1856.46412037,3540,18804,-8056,12256,6264,19856,28214,18770,6738,20039,-9244,-8392,-32768,484,-5604,4520,-26094,-26929,-7411,6870,0.363830626511,0.196386063572,-0.163457865248,-0.296265562486,0.389128145708,-0.138900590188,0.551509828046,,,-0.0135841424658,,,10
-692.361111111,5958.5,-18834.75,5751.16666667,-550.833333333,11455.3888889,-2439.54861111,-5721.41666667,-174.902777778,10760.9027778,2977.02470941,6216.01236375,7563.63786331,2002.59193585,2464.63314338,2949.76542178,16026.9272229,15164.9751622,3464.77980878,2479.64051737,378.0,4688.0,-16812.0,5568.0,-1050.0,11262.0,-2130.0,-7705.0,68.5,10438.5,2411.02700617,5476.61805556,6473.22569444,1545.17592593,1972.45601852,2312.1712963,14143.8756752,13184.9907407,2709.24459877,2004.34760802,2856,18804,-8396,12256,5568,19856,28214,25001,9765,16393,-9244,-8392,-32768,1388,-5604,5488,-27059,-26929,-7374,5967,0.206621544639,0.259148321808,-0.163182315687,-0.347614665655,0.315214350681,0.147517338287,0.582135501935,,,-0.0721029999371,,,10
-47.2222222222,6078.16666667,-18801.8333333,5573.55555556,-725.972222222,11524.3333333,-3391.59722222,-5783.56944444,-256.402777778,10473.5972222,2937.59181245,5536.4947003,7368.82752579,1689.4085603,2021.62501951,2668.42030218,15991.3794042,15540.7185044,3283.84740308,2682.76252913,976.0,5336.0,-17112.0,5488.0,-968.0,11460.0,-4518.0,-5908.0,-312.5,9609.0,2268.08641975,4783.59490741,6361.78009259,1327.67592593,1643.72415123,2081.34722222,14253.6361883,13529.1111111,2568.26388889,2250.22164352,5048,16416,-7992,10728,5056,18644,22461,25001,9765,16551,-7280,-4692,-32768,1420,-4564,6404,-28285,-30708,-7132,5967,0.151131944147,0.562485606693,-0.205842260715,-0.496951200903,0.0803566598633,0.314313520604,0.509010264486,,,-0.249639869148,,,10
429.25,6736.36111111,-18001.6666667,5521.30555556,-1044.80555556,11469.3055556,-3810.97916667,-7690.15972222,-332.097222222,11003.1666667,2886.858092,5784.14887104,6997.52786716,1545.9850879,2123.54033875,2414.64922318,14869.0699534,15592.0502447,2531.50759504,2335.84651402,1018.0,6036.0,-17246.0,5486.0,-1158.0,11344.0,-7308.5,-6455.5,-557.0,10916.5,2223.03125,4942.96180556,6090.45833333,1163.63657407,1656.72762346,1907.02662037,12987.9126157,13993.856385,1961.88078704,1895.8287037,5668,18696,-6712,10728,4796,18644,22461,17408,6668,16551,-6736,-3584,-32768,1420,-6936,6544,-28285,-30708,-6770,7011,0.0962762917523,0.499487791486,-0.323785294522,-0.422613265906,0.0671908834638,0.177812752216,0.516396196131,,,-0.148304366001,,,10
114.583333333,6498.94444444,-16812.6111111,5383.5,-1242.25,11398.4722222,-4605.41666667,-9334.04166667,-34.0347222222,10958.1875,2197.33659345,6911.06441133,6688.85052175,1634.46385213,2687.96310825,2321.14068878,12581.5081814,15805.5729385,2367.14995614,2309.78705757,196.0,3962.0,-14976.0,5494.0,-1506.0,11304.0,-5799.5,-13988.0,-621.5,10914.0,1807.17824074,6075.6720679,6014.03395062,1247.31944444,2133.70486111,1821.51967593,10690.7372685,13907.287037,1860.90200617,1796.25954861,5668,21312,196,10224,6972,17892,20601,20088,6406,17039,-4964,-3584,-32768,1668,-6936,6140,-22898,-30801,-3573,6572,-0.109089067828,0.254084560076,-0.463622270464,-0.0400532090821,0.132776863735,0.0636000825066,0.504523187064,,,-0.11269532269,,,10
-893.222222222,6668.61111111,-16793.4166667,5193.61111111,-1160.05555556,11585.1111111,-4398.9375,-10383.7708333,-327.791666667,10657.2361111,2295.00011257,7150.35816513,6832.07121479,2003.68953778,3019.84503788,3200.71168465,12885.8549826,14587.0386095,3306.31380714,2902.82915527,-1052.0,3814.0,-15154.0,5296.0,-1344.0,11702.0,-5168.0,-12610.5,-173.5,10098.0,1810.82098765,6264.76003086,5821.88773148,1528.93287037,2368.33256173,2364.15123457,11006.1762153,12478.6264468,2612.06076389,2179.82040895,3520,21312,196,10948,8900,21488,20601,20088,6406,19178,-8244,-3500,-32768,-796,-6784,2640,-22898,-30801,-8328,5708,-0.268090222042,0.348618721424,-0.44164025962,-0.172530588197,0.182975091395,0.0552218494169,0.539759942094,,,0.0672959942411,,,10
-811.666666667,7041.5,-17343.6944444,5466.52777778,-837.361111111,11554.8611111,-2367.04166667,-11490.6319444,-962.048611111,11390.3333333,3073.17236152,6793.74996812,6333.88300933,2067.67205994,2785.00549173,3338.10155546,13724.7527181,13971.2150834,3242.49611466,3047.67440858,-1246.0,4992.0,-16156.0,5282.0,-1364.0,11394.0,-2807.0,-13709.0,-361.0,10788.0,2517.80092593,5984.25694444,5040.42978395,1558.33487654,2186.74652778,2538.38503086,11988.0538194,11994.5880594,2686.80671296,2491.80092593,6336,19656,-5512,10948,8900,21488,23608,18022,5449,19178,-8244,-4636,-32768,-796,-6784,2640,-22520,-30631,-8328,5708,0.311414913961,0.200349448931,-0.277115430412,-0.381254954447,0.167129739292,0.0808597296277,0.757247337717,,,0.0974786980912,,,10
-279.805555556,5994.13888889,-17672.8055556,5940.22222222,-541.805555556,11260.6944444,-2494.16666667,-10260.6180556,-934.861111111,11693.9097222,2857.84549216,5863.53619004,5907.79968658,1700.23996844,2259.40098899,2806.59588068,13084.5561086,16027.1823785,2951.11013037,2233.23369893,-640.0,4794.0,-16924.0,5708.0,-1164.0,11078.0,-3004.5,-13899.5,-767.5,11622.0,2400.7025463,4915.07677469,4617.15046296,1380.74382716,1944.94367284,2197.90933642,11342.6736111,13509.4072145,2422.49228395,1775.82137346,6336,17268,-7588,10360,4176,18812,23608,23045,7618,17235,-6824,-8368,-32112,2040,-4672,4884,-21548,-30609,-6384,7461,0.679690569513,-0.0247382517203,-0.107652409883,-0.368878013833,0.0383345154606,0.164795116573,0.638744002869,,,-0.00816346955237,,,10
